std::adjacent_find,<algorithm>
std::greater,<functional>
std::greater_equal,<functional>
std::hash,<functional>
std::is_bind_expression,<functional>
std::is_placeholder,<functional>
std::less,<functional>
std::less_equal,<functional>
std::logical_and,<functional>
std::logical_not,<functional>
std::logical_or,<functional>
std::mem_fn,<functional>
std::mem_fun,<functional>
std::mem_fun1_ref_t,<functional>
std::mem_fun1_t,<functional>
std::mem_fun_ref,<functional>
std::mem_fun_ref_t,<functional>
std::mem_fun_t,<functional>
std::minus,<functional>
std::modulus,<functional>
std::multiplies,<functional>
std::negate,<functional>
std::not1,<functional>
std::not2,<functional>
std::not_equal_to,<functional>
std::placeholders,<functional>
std::plus,<functional>
std::pointer_to_binary_function,<functional>
std::pointer_to_unary_function,<functional>
std::ptr_fun,<functional>
std::ref,<functional>
std::reference_wrapper,<functional>
std::unary_function,<functional>
std::unary_negate,<functional>
std::async,<future>
std::future,<future>
std::future_category,<future>
std::future_errc,<future>
std::future_error,<future>
std::future_status,<future>
std::launch,<future>
std::packaged_task,<future>
std::promise,<future>
std::shared_future,<future>
std::initializer_list,<initializer_list>
std::get_money,<iomanip>
std::get_time,<iomanip>
std::put_money,<iomanip>
std::put_time,<iomanip>
std::resetiosflags,<iomanip>
std::setbase,<iomanip>
std::setfill,<iomanip>
std::setiosflags,<iomanip>
std::setprecision,<iomanip>
std::setw,<iomanip>
std::basic_ios,<ios>
std::boolalpha,<ios>
std::dec,<ios>
std::defaultfloat,<ios>
std::fixed,<ios>
std::fpos,<ios>
std::hex,<ios>
std::hexfloat,<ios>
std::internal,<ios>
std::io_errc,<ios>
std::ios,<ios>
std::ios_base,<ios>
std::iostream_category,<ios>
std::left,<ios>
std::noboolalpha,<ios>
std::noshowbase,<ios>
std::noshowpoint,<ios>
std::noshowpos,<ios>
std::noskipws,<ios>
std::nounitbuf,<ios>
std::nouppercase,<ios>
std::oct,<ios>
std::right,<ios>
std::scientific,<ios>
std::showbase,<ios>
std::showpoint,<ios>
std::showpos,<ios>
std::skipws,<ios>
std::streamoff,<ios>
std::streampos,<ios>
std::streamsize,<ios>
std::unitbuf,<ios>
std::uppercase,<ios>
std::wios,<ios>
std::wstreampos,<ios>
std::cerr,<iostream>
std::cin,<iostream>
std::clog,<iostream>
std::cout,<iostream>
std::wcerr,<iostream>
std::wcin,<iostream>
std::wclog,<iostream>
std::wcout,<iostream>
std::basic_iostream,<istream>
std::basic_istream,<istream>
std::iostream,<istream>
std::istream,<istream>
std::wiostream,<istream>
std::wistream,<istream>
std::ws,<istream>
std::BidirectionalIterator,<iterator>
std::ForwardIterator,<iterator>
std::InputIterator,<iterator>
std::OutputIterator,<iterator>
std::RandomAccessIterator,<iterator>
std::advance,<iterator>
std::back_insert_iterator,<iterator>
std::back_inserter,<iterator>
std::begin,<iterator>
std::distance,<iterator>
std::end,<iterator>
std::front_insert_iterator,<iterator>
std::front_inserter,<iterator>
std::insert_iterator,<iterator>
std::inserter,<iterator>
std::istream_iterator,<iterator>
std::istreambuf_iterator,<iterator>
std::iterator,<iterator>
std::iterator_traits,<iterator>
std::make_move_iterator,<iterator>
std::move_iterator,<iterator>
std::next,<iterator>
std::ostream_iterator,<iterator>
std::ostreambuf_iterator,<iterator>
std::prev,<iterator>
std::reverse_iterator,<iterator>
std::float_denorm_style,<limits>
std::float_round_style,<limits>
std::numeric_limits,<limits>
std::list,<list>
std::codecvt,<locale>
std::codecvt_base,<locale>
std::codecvt_byname,<locale>
std::collate,<locale>
std::collate_byname,<locale>
std::ctype,<locale>
std::ctype_base,<locale>
std::ctype_byname,<locale>
std::has_facet,<locale>
std::isalnum,<locale>
std::isalpha,<locale>
std::isblank,<locale>
std::iscntrl,<locale>
std::isdigit,<locale>
std::isgraph,<locale>
std::islower,<locale>
std::isprint,<locale>
std::ispunct,<locale>
std::isspace,<locale>
std::isupper,<locale>
std::isxdigit,<locale>
std::locale,<locale>
std::messages,<locale>
std::messages_base,<locale>
std::messages_byname,<locale>
std::money_base,<locale>
std::money_get,<locale>
std::money_put,<locale>
std::moneypunct,<locale>
std::moneypunct_byname,<locale>
std::num_get,<locale>
std::num_put,<locale>
std::numpunct,<locale>
std::numpunct_byname,<locale>
std::time_base,<locale>
std::time_get,<locale>
std::time_get_byname,<locale>
std::time_put,<locale>
std::time_put_byname,<locale>
std::tolower,<locale>
std::toupper,<locale>
std::use_facet,<locale>
std::wbuffer_convert,<locale>
std::wstring_convert,<locale>
std::map,<map>
std::multimap,<map>
std::addressof,<memory>
std::align,<memory>
std::allocate_shared,<memory>
std::allocator,<memory>
std::allocator_arg,<memory>
std::allocator_arg_t,<memory>
std::allocator_traits,<memory>
std::auto_ptr,<memory>
std::auto_ptr_ref,<memory>
std::bad_weak_ptr,<memory>
std::const_pointer_cast,<memory>
std::declare_no_pointers,<memory>
std::declare_reachable,<memory>
std::default_delete,<memory>
std::dynamic_pointer_cast,<memory>
std::enable_shared_from_this,<memory>
std::get_deleter,<memory>
std::get_pointer_safety,<memory>
std::get_temporary_buffer,<memory>
std::make_shared,<memory>
std::owner_less,<memory>
std::pointer_safety,<memory>
std::pointer_traits,<memory>
std::raw_storage_iterator,<memory>
std::return_temporary_buffer,<memory>
std::shared_ptr,<memory>
std::static_pointer_cast,<memory>
std::undeclare_no_pointers,<memory>
std::undeclare_reachable,<memory>
std::uninitialized_copy,<memory>
std::uninitialized_copy_n,<memory>
std::uninitialized_fill,<memory>
std::uninitialized_fill_n,<memory>
std::unique_ptr,<memory>
std::uses_allocator,<memory>
std::weak_ptr,<memory>
std::adopt_lock,<mutex>
std::adopt_lock_t,<mutex>
std::call_once,<mutex>
std::defer_lock,<mutex>
std::defer_lock_t,<mutex>
std::lock,<mutex>
std::lock_guard,<mutex>
std::mutex,<mutex>
std::once_flag,<mutex>
std::recursive_mutex,<mutex>
std::recursive_timed_mutex,<mutex>
std::timed_mutex,<mutex>
std::try_lock,<mutex>
std::try_to_lock,<mutex>
std::try_to_lock_t,<mutex>
std::unique_lock,<mutex>
std::bad_alloc,<new>
std::bad_array_new_length,<new>
std::get_new_handler,<new>
std::new_handler,<new>
std::nothrow,<new>
std::nothrow_t,<new>
std::set_new_handler,<new>
std::accumulate,<numeric>
std::adjacent_difference,<numeric>
std::inner_product,<numeric>
std::iota,<numeric>
std::partial_sum,<numeric>
std::basic_ostream,<ostream>
std::endl,<ostream>
std::ends,<ostream>
std::ostream,<ostream>
std::wostream,<ostream>
std::priority_queue,<queue>
std::queue,<queue>
std::bernoulli_distribution,<random>
std::binomial_distribution,<random>
std::cauchy_distribution,<random>
std::chi_squared_distribution,<random>
std::default_random_engine,<random>
std::discard_block_engine,<random>
std::discrete_distribution,<random>
std::exponential_distribution,<random>
std::extreme_value_distribution,<random>
std::fisher_f_distribution,<random>
std::gamma_distribution,<random>
std::generate_canonical,<random>
std::geometric_distribution,<random>
std::independent_bits_engine,<random>
std::knuth_b,<random>
std::linear_congruential_engine,<random>
std::lognormal_distribution,<random>
std::mersenne_twister_engine,<random>
std::minstd_rand,<random>
std::minstd_rand0,<random>
std::mt19937,<random>
std::mt19937_64,<random>
std::negative_binomial_distribution,<random>
std::normal_distribution,<random>
std::piecewise_constant_distribution,<random>
std::piecewise_linear_distribution,<random>
std::poisson_distribution,<random>
std::random_device,<random>
std::ranlux24,<random>
std::ranlux24_base,<random>
std::ranlux48,<random>
std::ranlux48_base,<random>
std::seed_seq,<random>
std::shuffle_order_engine,<random>
std::student_t_distribution,<random>
std::subtract_with_carry_engine,<random>
std::uniform_int_distribution,<random>
std::uniform_real_distribution,<random>
std::weibull_distribution,<random>
std::ratio,<ratio>
std::ratio_add,<ratio>
std::ratio_divide,<ratio>
std::ratio_equal,<ratio>
std::ratio_greater,<ratio>
std::ratio_greater_equal,<ratio>
std::ratio_less,<ratio>
std::ratio_less_equal,<ratio>
std::ratio_multiply,<ratio>
std::ratio_not_equal,<ratio>
std::ratio_subtract,<ratio>
std::ECMAScript,<regex>
std::basic_regex,<regex>
std::cmatch,<regex>
std::csub_match,<regex>
std::match_results,<regex>
std::regex,<regex>
std::regex_constants,<regex>
std::regex_error,<regex>
std::regex_iterator,<regex>
std::regex_match,<regex>
std::regex_replace,<regex>
std::regex_search,<regex>
std::regex_token_iterator,<regex>
std::regex_traits,<regex>
std::smatch,<regex>
std::ssub_match,<regex>
std::sub_match,<regex>
std::wcmatch,<regex>
std::wcsub_match,<regex>
std::wregex,<regex>
std::wsmatch,<regex>
std::wssub_match,<regex>
std::multiset,<set>
std::set,<set>
std::basic_istringstream,<sstream>
std::basic_ostringstream,<sstream>
std::basic_stringbuf,<sstream>
std::basic_stringstream,<sstream>
std::istringstream,<sstream>
std::ostringstream,<sstream>
std::stringbuf,<sstream>
std::stringstream,<sstream>
std::wistringstream,<sstream>
std::wostringstream,<sstream>
std::wstringbuf,<sstream>
std::wstringstream,<sstream>
std::stack,<stack>
std::domain_error,<stdexcept>
std::invalid_argument,<stdexcept>
std::length_error,<stdexcept>
std::logic_error,<stdexcept>
std::out_of_range,<stdexcept>
std::overflow_error,<stdexcept>
std::range_error,<stdexcept>
std::runtime_error,<stdexcept>
std::underflow_error,<stdexcept>
std::basic_streambuf,<streambuf>
std::streambuf,<streambuf>
std::wstreambuf,<streambuf>
std::basic_string,<string>
std::char_traits,<string>
std::stod,<string>
std::stof,<string>
std::stoi,<string>
std::stol,<string>
std::stold,<string>
std::stoll,<string>
std::stoul,<string>
std::stoull,<string>
std::string,<string>
std::to_string,<string>
std::to_wstring,<string>
std::u16string,<string>
std::u32string,<string>
std::wstring,<string>
std::errc,<system_error>
std::error_category,<system_error>
std::error_code,<system_error>
std::error_condition,<system_error>
std::generic_category,<system_error>
std::is_error_code_enum,<system_error>
std::is_error_condition_enum,<system_error>
std::make_error_code,<system_error>
std::make_error_condition,<system_error>
std::system_category,<system_error>
std::system_error,<system_error>
std::this_thread,<thread>
std::thread,<thread>
std::forward_as_tuple,<tuple>
std::get,<tuple>
std::ignore,<tuple>
std::make_tuple,<tuple>
std::tie,<tuple>
std::tuple,<tuple>
std::tuple_cat,<tuple>
std::tuple_element,<tuple>
std::tuple_size,<tuple>
std::type_index,<typeindex>
std::bad_cast,<typeinfo>
std::bad_typeid,<typeinfo>
std::type_info,<typeinfo>
std::add_const,<type_traits>
std::add_cv,<type_traits>
std::add_lvalue_reference,<type_traits>
std::add_pointer,<type_traits>
std::add_rvalue_reference,<type_traits>
std::add_volatile,<type_traits>
std::aligned_storage,<type_traits>
std::aligned_union,<type_traits>
std::alignment_of,<type_traits>
std::common_type,<type_traits>
std::conditional,<type_traits>
std::decay,<type_traits>
std::enable_if,<type_traits>
std::extent,<type_traits>
std::false_type,<type_traits>
std::has_virtual_destructor,<type_traits>
std::integral_constant,<type_traits>
std::is_abstract,<type_traits>
std::is_arithmetic,<type_traits>
std::is_array,<type_traits>
std::is_assignable,<type_traits>
std::is_base_of,<type_traits>
std::is_class,<type_traits>
std::is_compound,<type_traits>
std::is_const,<type_traits>
std::is_constructible,<type_traits>
std::is_convertible,<type_traits>
std::is_copy_assignable,<type_traits>
std::is_copy_constructible,<type_traits>
std::is_default_constructible,<type_traits>
std::is_destructible,<type_traits>
std::is_empty,<type_traits>
std::is_enum,<type_traits>
std::is_floating_point,<type_traits>
std::is_function,<type_traits>
std::is_fundamental,<type_traits>
std::is_integral,<type_traits>
std::is_literal_type,<type_traits>
std::is_lvalue_reference,<type_traits>
std::is_member_function_pointer,<type_traits>
std::is_member_object_pointer,<type_traits>
std::is_member_pointer,<type_traits>
std::is_move_assignable,<type_traits>
std::is_move_constructible,<type_traits>
std::is_nothrow_assignable,<type_traits>
std::is_nothrow_constructible,<type_traits>
std::is_nothrow_copy_assignable,<type_traits>
std::is_nothrow_copy_constructible,<type_traits>
std::is_nothrow_default_constructible,<type_traits>
std::is_nothrow_destructible,<type_traits>
std::is_nothrow_move_assignable,<type_traits>
std::is_nothrow_move_constructible,<type_traits>
std::is_null_pointer,<type_traits>
std::is_object,<type_traits>
std::is_pod,<type_traits>
std::is_pointer,<type_traits>
std::is_polymorphic,<type_traits>
std::is_reference,<type_traits>
std::is_rvalue_reference,<type_traits>
std::is_same,<type_traits>
std::is_scalar,<type_traits>
std::is_signed,<type_traits>
std::is_standard_layout,<type_traits>
std::is_trivial,<type_traits>
std::is_trivially_assignable,<type_traits>
std::is_trivially_constructible,<type_traits>
std::is_trivially_copy_assignable,<type_traits>
std::is_trivially_copy_constructible,<type_traits>
std::is_trivially_copyable,<type_traits>
std::is_trivially_default_constructible,<type_traits>
std::is_trivially_destructible,<type_traits>
std::is_trivially_move_assignable,<type_traits>
std::is_trivially_move_constructible,<type_traits>
std::is_union,<type_traits>
std::is_unsigned,<type_traits>
std::is_void,<type_traits>
std::is_volatile,<type_traits>
std::make_signed,<type_traits>
std::make_unsigned,<type_traits>
std::rank,<type_traits>
std::remove_all_extents,<type_traits>
std::remove_const,<type_traits>
std::remove_cv,<type_traits>
std::remove_extent,<type_traits>
std::remove_pointer,<type_traits>
std::remove_reference,<type_traits>
std::remove_volatile,<type_traits>
std::result_of,<type_traits>
std::true_type,<type_traits>
std::underlying_type,<type_traits>
std::unordered_map,<unordered_map>
std::unordered_multimap,<unordered_map>
std::unordered_multiset,<unordered_set>
std::unordered_set,<unordered_set>
std::declval,<utility>
std::forward,<utility>
std::make_pair,<utility>
std::move,<utility>
std::move_if_noexcept,<utility>
std::pair,<utility>
std::piecewise_construct,<utility>
std::piecewise_construct_t,<utility>
std::rel_ops,<utility>
std::swap,<utility>
std::abs,<valarray>
std::acos,<valarray>
std::asin,<valarray>
std::atan,<valarray>
std::atan2,<valarray>
std::cos,<valarray>
std::cosh,<valarray>
std::exp,<valarray>
std::gslice,<valarray>
std::gslice_array,<valarray>
std::indirect_array,<valarray>
std::log,<valarray>
std::log10,<valarray>
std::mask_array,<valarray>
std::pow,<valarray>
std::sin,<valarray>
std::sinh,<valarray>
std::slice,<valarray>
std::slice_array,<valarray>
std::sqrt,<valarray>
std::tan,<valarray>
std::tanh,<valarray>
std::valarray,<valarray>
std::vector,<vector>
